version, 0.000000
codebook_name, LT2v0
bit_names, RS0015, RS0083, RS0095, RS0109, RS0175, RS0237, RS0247, RS0255, RS0307, RS0332, RS0343, RS0384, RS0406, RS0451, RS0468, RS0548, RS0578, RS0584, RS0639, RS0707, RS0708, RS0730, RS0763, RS0793, RS0805, RS0820
name, id, barcode
Lefty2, ENSMUST00000085797.6, 11000000000000000000000011
Afp, ENSMUST00000042755.7, 00000000010001000010001000
Prrx1, ENSMUST00000075805.13, 00000000000000110000000011
Cpm, ENSMUST00000020399.6, 00000000000000001100000011
Nppa, ENSMUST00000103230.5, 01000000000001000000100010
Pdgfb, ENSMUST00000000500.8, 11000000000000110000000000
Wfdc1, ENSMUST00000024107.7, 10100000000001010000000000
Gdnf, ENSMUST00000022744.5, 00000000110000001100000000
Ptch1, ENSMUST00000194663.6, 00001000000010000100000001
Klf2, ENSMUST00000067912.8, 00000000000000110000110000
Gdf3, ENSMUST00000032211.5, 00000000010000101000000100
Nlgn1, ENSMUST00000193603.6, 00000110000010010000000000
Hoxc9, ENSMUST00000173306.2, 00100000010000000010000001
Six1, ENSMUST00000050029.8, 00000001000000100100000010
Eya1, ENSMUST00000027066.13, 00000000001111000000000000
Flt1, ENSMUST00000031653.12, 00000000100000100010100000
Hoxb3, ENSMUST00000093944.10, 10100000000000000101000000
Hoxa1, ENSMUST00000000964.6, 00000000111100000000000000
Foxg1, ENSMUST00000179669.3, 00001100001100000000000000
Nkx6-2, ENSMUST00000097974.9, 01100000000000000000011000
Rims2, ENSMUST00000227243.2, 00000000100000100100000100
Phox2b, ENSMUST00000012664.11, 00010010010010000000000000
Tac2, ENSMUST00000179960.8, 00001010000000000000101000
Foxc2, ENSMUST00000054691.8, 00000000000000111100000000
Sox10, ENSMUST00000230532.2, 00000110000000000110000000
Cyp26a1, ENSMUST00000025946.7, 00000001001000000000100001
Csf1r, ENSMUST00000025523.13, 00000000000010100000010100
Foxf1, ENSMUST00000181504.2, 10000000000100000001000010
Bmpr1a, ENSMUST00000049005.15, 01001000000000000010000100
Ednrb, ENSMUST00000172237.2, 00000000001000100010001000
Sim1, ENSMUST00000219436.2, 00010000000000010000100010
Myog, ENSMUST00000027730.6, 00000000000011000000000011
Bcam, ENSMUST00000003061.14, 00000010001000000000010001
Fgf4, ENSMUST00000208265.2, 00000000000100011000100000
Itga4, ENSMUST00000099972.5, 00000101000001010000000000
Aldh1a3, ENSMUST00000015278.15, 00100000100000000001000001
Stk32a, ENSMUST00000045477.6, 01000001001010000000000000
Hoxc6, ENSMUST00000001711.6, 01100000000000000000100100
Cer1, ENSMUST00000048430.4, 00010001001000100000000000
Psme2, ENSMUST00000162700.8, 00010001000000000010001000
Nme5, ENSMUST00000079287.12, 10000000000100000010000001
Gp9, ENSMUST00000032133.5, 00000000101000001010000000
Otx2, ENSMUST00000226501.2, 00100000000000100000010001
Epha5, ENSMUST00000113403.8, 00000000010100001010000000
Ebf3, ENSMUST00000169486.9, 00001001000000000000011000
