,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21
intID108,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
intID109,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
intID110,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
intID111,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
intID112,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
intID113,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
intID114,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
intID115,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
intID116,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
intID117,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
intID118,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
intID119,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
intID120,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
intID121,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
intID122,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
intID123,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
intID124,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
intID125,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
intID126,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
intID127,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
intID128,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
intID129,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
intID130,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
intID131,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
intID132,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
intID133,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
intID134,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
intID135,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
intID136,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
intID137,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
intID138,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
intID139,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
intID140,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
intID141,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
intID142,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
intID143,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
intID144,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
intID145,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
intID146,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
intID147,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
intID148,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
intID149,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
intID150,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
intID151,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
intID152,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
intID153,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
intID154,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
intID155,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
intID156,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
intID157,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
intID158,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
intID159,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
intID160,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
intID161,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
intID162,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
intID163,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
intID164,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
intID165,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
intID166,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
intID167,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
intID168,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
intID169,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
intID170,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
intID171,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
intID172,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
intID173,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
intID174,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
intID175,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
intID176,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
intID177,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
intID178,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
intID179,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
intID180,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
intID181,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
intID182,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
intID183,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
intID184,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
intID185,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
intID186,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
intID187,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
intID188,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
intID189,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
intID190,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
intID191,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
intID192,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
intID193,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
intID194,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
intID195,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
intID196,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
intID197,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
intID198,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
intID199,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
intID200,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
intID201,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
intID202,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
intID203,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
intID204,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
intID205,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
intID206,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
intID207,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
intID208,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
intID209,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
intID210,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
intID211,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
intID212,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
intID213,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
intID214,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
intID215,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
intID216,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
intID217,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
intID218,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
intID219,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
intID220,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
intID221,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
intID222,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
intID223,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
intID224,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
intID225,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
intID226,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
intID227,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
intID228,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
intID229,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
intID230,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
intID231,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
intID232,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
intID233,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
intID234,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
intID235,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
intID236,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
intID237,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
intID238,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
intID239,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
intID240,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
intID241,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
intID242,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
intID243,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
intID244,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
intID245,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
intID246,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
intID247,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
intID248,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
intID249,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
intID250,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
intID251,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
intID252,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
intID253,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
intID254,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
intID255,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
intID256,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
intID257,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
intID258,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
intID259,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
intID260,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
intID261,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
intID262,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
intID263,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
intID264,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
intID265,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
intID266,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
intID267,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
intID268,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
intID269,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
intID270,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
intID271,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
intID272,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
intID273,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
intID274,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
intID275,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
intID276,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
intID277,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
intID278,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0
intID279,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
intID280,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
intID281,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
intID282,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
intID283,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
intID284,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
intID285,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
intID286,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
intID287,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
intID288,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
intID289,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
intID290,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
intID291,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
intID292,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
intID293,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
intID294,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
intID295,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
intID296,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
intID297,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
intID298,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
intID299,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
intID300,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
